Drug	Condition	DrugCUI	ConditionCUI
DIGOXIN	Atrial Fibrillation	C0012265	C0004238
IBUTILIDE	Atrial Fibrillation	C0082966	C0004238
VERNAKALANT	Atrial Fibrillation	C2001572	C0004238
ATOMOXETINE	Attention Deficit Disorder with Hyperactivity	C0076823	
DEXMETHYLPHENIDATE	Attention Deficit Disorder with Hyperactivity	C1169997	
IBUPROFEN	Back Pain	C0020740	C0004604
PELUBIPROFEN	Back Pain	C0045712	C0004604
ROLITETRACYCLINE	Bacterial Infections	C0035823	C0004623
TETRACYCLINE	Bacterial Infections	C0039644	C0004623
CEFPIRAMIDE	Bacterial Infections	C0055010	C0004623
ISEPAMICIN	Bacterial Infections	C0124008	C0004623
CEFADROXIL	Bacterial Infections	C0007538	C0004623
CEFUROXIME	Bacterial Infections	C0007562	C0004623
SISOMICIN	Bacterial Infections	C0037209	C0004623
CYCLACILLIN	Bacterial Infections	C0010523	C0004623
LATAMOXEF	Bacterial Infections		C0004623
CEFTERAM	Bacterial Infections	C0108946	C0004623
LENAMPICILLIN	Bacterial Infections	C0125457	C0004623
FLEROXACIN	Bacterial Infections	C0085161	C0004623
MEZLOCILLIN	Bacterial Infections	C0025893	C0004623
AZLOCILLIN	Bacterial Infections	C0004499	C0004623
CEPHALEXIN	Bacterial Infections	C0007716	C0004623
LORACARBEF	Bacterial Infections	C0065295	C0004623
AMPICILLIN	Bacterial Infections	C0002680	C0004623
SULFAMERAZINE	Bacterial Infections	C0038684	C0004623
CEFALONIUM	Bacterial Infections		C0004623
SECNIDAZOLE	Vaginosis, Bacterial	C0074246	
LISDEXAMFETAMINE	Binge-Eating Disorder	C1873633	
ZUCLOPENTHIXOL	Bipolar Disorder	C0376160	C0005586
LITHIUM	Bipolar Disorder	C0023870	C0005586
CISPLATIN	Urinary Bladder Neoplasms	C0008838	
FRAMYCETIN	Blepharitis	C0016673	C0005741
PRANOPROFEN	Blepharitis		C0005741
DICUMAROL	Blood Coagulation	C0005640	C0005778
GAMITHROMYCIN	Bovine Respiratory Disease Complex	C2975314	C1449809
TRILOSTANE	Breast Neoplasms	C0077144	
TESTOLACTONE	Breast Neoplasms	C0039600	
ELLIPTINIUM	Breast Neoplasms	C0115685	
EPIRUBICIN	Breast Neoplasms	C0014582	
THIOTEPA	Breast Neoplasms	C0039871	
LAPATINIB	Breast Neoplasms	C1506770	
METHOTREXATE	Breast Neoplasms	C0025677	
ANASTROZOLE	Breast Neoplasms	C0290883	
PALBOCICLIB	Breast Neoplasms	C3853822	
LETROZOLE	Breast Neoplasms	C0246421	
MEPITIOSTANE	Breast Neoplasms	C0065964	
EPITIOSTANOL	Breast Neoplasms	C0059457	
TULOBUTEROL	Asthma	C0077497	C0004096
METAPROTERENOL	Asthma	C0029193	C0004096
FUDOSTEINE	Bronchiectasis	C0756016	C0006267
SULFALENE	Bronchitis	C0038683	C0006277
JOSAMYCIN	Bronchitis	C0022419	C0006277
PRULIFLOXACIN	Bronchitis, Chronic	C0527129	C0008677
ETAFEDRINE	Bronchitis, Chronic	C0059676	C0008677
FLUOXETINE	Bulimia Nervosa	C0016365	C2267227
SUXIBUZONE	Bursitis	C0075667	C0006444
PD173955	Neoplasms		C0027651
HELVOLIC ACID	Candidiasis	C0121292	C0006840
POSACONAZOLE	Candidiasis	C0936148	C0006840
FLUCONAZOLE	Candidiasis	C0016277	C0006840
OCTREOTIDE	Carcinoid Tumor	C0028833	C0007095
SONIDEGIB	Carcinoma, Basal Cell	C3886731	
VISMODEGIB	Carcinoma, Basal Cell	C2987716	
IMIQUIMOD	Carcinoma, Basal Cell	C0165032	
GOLVATINIB	Carcinoma, Hepatocellular	C3642430	
OSIMERTINIB	Carcinoma, Non-Small-Cell Lung	C4058811	
VINORELBINE	Carcinoma, Non-Small-Cell Lung	C0078257	
ALECTINIB	Carcinoma, Non-Small-Cell Lung	C3853921	
CERITINIB	Carcinoma, Non-Small-Cell Lung	C3818721	
GEFITINIB	Carcinoma, Non-Small-Cell Lung	C1122962	
AFATINIB	Carcinoma, Non-Small-Cell Lung	C2987648	
SORAFENIB	Carcinoma, Renal Cell	C1516119	
SAVOLITINIB	Carcinoma, Renal Cell		
AXITINIB	Carcinoma, Renal Cell	C1700874	
PAZOPANIB	Carcinoma, Renal Cell	C1831796	
TEMSIROLIMUS	Carcinoma, Renal Cell	C1707080	
VINFLUNINE	Carcinoma, Transitional Cell	C0672663	C0007138
NOREPINEPHRINE	Heart Arrest	C0028351	
SIMVASTATIN	Cardiovascular Diseases	C0074554	C0007222
PANTETHINE	Cardiovascular Diseases	C0070034	C0007222
BENDAZAC	Cataract	C0053097	C0086543
PIRENOXINE	Cataract	C0752378	C0086543
BENZNIDAZOLE	Chagas Disease		C0041234
NIFURTIMOX	Chagas Disease	C0028073	C0041234
TIEMONIUM	Cholecystitis	C0771438	C0008325
TREPIBUTONE	Cholelithiasis	C0094813	C0008350
DEHYDROCHOLIC ACID	Cholestasis	C0011182	C0008370
VERTEPORFIN	Choroidal Neovascularization	C0387288	C0600518
ISOETHARINE	Bronchitis, Chronic	C0022176	C0008677
GEMIFLOXACIN	Bronchitis, Chronic	C0533545	C0008677
CEFDINIR	Bronchitis, Chronic	C0060405	C0008677
GLYCAMIL	Hepatitis C, Chronic		C0524910
DACLATASVIR	Hepatitis C, Chronic	C3252090	C0524910
ELBASVIR	Hepatitis C, Chronic	C4080052	C0524910
FLUTROPIUM	Pulmonary Disease, Chronic Obstructive	C0873172	
CAMOSTAT	Pancreatitis, Chronic	C0129975	C0149521
AVILAMYCIN	Clostridium Infections	C0052709	C0009062
SEMDURAMICIN	Coccidiosis	C0141951	C0009187
NITROMIDE	Coccidiosis	C0068851	C0009187
ETHOPABATE	Coccidiosis	C0015041	C0009187
ROBENIDINE	Coccidiosis	C0035780	C0009187
NICARBAZIN	Coccidiosis	C0028004	C0009187
NOOPEPT	Cognition Disorders		C0009241
VALETHAMATE	Colic	C0077981	
JNJ-38877605	Colorectal Neoplasms	C2703089	C0009404
RALTITREXED	Colorectal Neoplasms	C0677667	C0009404
REGORAFENIB	Colorectal Neoplasms	C2980094	C0009404
BROMPHENIRAMINE	Common Cold	C0006246	C0009443
METOLAZONE	Heart Failure	C0025854	C0018801
NORFLOXACIN	Conjunctivitis	C0028365	C0009763
EPINASTINE	Conjunctivitis, Allergic	C0078442	
MEDRYSONE	Conjunctivitis, Allergic	C0065865	
LEVOCABASTINE	Conjunctivitis, Allergic	C0064870	
PRUCALOPRIDE	Constipation	C0913506	C0009806
NALOXONE	Constipation	C0027358	C0009806
PHENOLPHTHALEIN	Constipation	C0600489	C0009806
LUBIPROSTONE	Constipation	C1684405	C0009806
PERINDOPRIL	Coronary Artery Disease	C0136123	C1956346
CHROMONAR	Coronary Artery Disease	C0008593	C1956346
DOCONEXENT	Coronary Disease	C2348308	
ETHYLMORPHINE	Cough	C0015109	
PHOLCODINE	Cough	C0070742	
PASIREOTIDE	Pituitary ACTH Hypersecretion	C1872203	
KETOCONAZOLE	Candidiasis, Cutaneous	C0022625	
IVACAFTOR	Cystic Fibrosis	C3264621	C0010674
FLAVOXATE	Cystitis	C0016225	C0010692
MICRONOMICIN	Cystitis	C0066520	C0010692
VALGANCICLOVIR HCL	Cytomegalovirus Retinitis		C0206178
GANCICLOVIR	Cytomegalovirus Retinitis	C0017066	C0206178
CIDOFOVIR	Cytomegalovirus Retinitis	C0286079	C0206178
FOSCARNET	Cytomegalovirus Retinitis	C0070895	C0206178
ATIPAMEZOLE	Deep Sedation	C0052593	C1956064
OXIRACETAM	Dementia	C0069772	C0497327
XYLITOL	Dental Caries	C0043369	C0011334
PHENTOLAMINE	Stomatognathic Diseases	C0031448	C0038368
DIBENZEPIN	Depression	C0012030	
IMIPRAMINE	Depression	C0020934	
ISOCARBOXAZID	Depression	C0022154	
LOFEPRAMINE	Depression	C0023961	
AMITRIPTYLINE	Depressive Disorder	C0002600	C0011581
ORVEPITANT	Depressive Disorder, Major	C2983799	
ARIPIPRAZOLE	Depressive Disorder, Major	C0299792	
VILAZODONE	Depressive Disorder, Major	C1530072	
VORTIOXETINE	Depressive Disorder, Major	C3661282	
CLOBETASOL	Dermatitis	C0008992	C0011603
UFENAMATE	Dermatitis	C0625740	C0011603
DAPSONE	Dermatitis Herpetiformis	C0010980	C0011608
SULFOXONE	Dermatitis Herpetiformis	C0075606	C0011608
THENALIDINE	Dermatitis, Atopic	C0076382	C0011615
AMOROLFINE	Dermatomycoses	C0051736	C0011630
TOLNAFTATE	Tinea	C0040379	C0040247
HYDROCORTAMATE	Skin Diseases	C0544368	
LYPRESSIN	Diabetes Insipidus	C0024328	C0011848
CANAGLIFLOZIN	Diabetes Mellitus, Type 2	C2974540	
GLYBURIDE	Diabetes Mellitus, Type 2	C0017628	
EMPAGLIFLOZIN	Diabetes Mellitus, Type 2	C3490348	
MIGLITOL	Diabetes Mellitus, Type 2	C0066535	
TOLBUTAMIDE	Diabetes Mellitus, Type 2	C0040374	
GLIPIZIDE	Diabetes Mellitus, Type 2	C0017642	
TOFOGLIFLOZIN	Diabetes Mellitus, Type 2	C3501434	
GLIMEPIRIDE	Diabetes Mellitus, Type 2	C0061323	
ALOGLIPTIN	Diabetes Mellitus, Type 2	C1958126	
TENELIGLIPTIN	Diabetes Mellitus, Type 2	C2981308	
EPALRESTAT	Diabetic Neuropathies	C0095278	C0011882
UZARIN	Diarrhea		C0011991
UZARIGENIN	Diarrhea	C0042175	C0011991
FIDAXOMICIN	Diarrhea	C0065023	C0011991
RIFAXIMIN	Diarrhea	C0073374	C0011991
LOPERAMIDE	Diarrhea	C0023992	C0011991
DIFENOXIN	Diarrhea	C0057981	C0011991
GEMEPROST	Dilatation and Curettage	C0044923	C0012358
LEVLOFEXIDINE	Substance-Related Disorders	C2825595	C0236969
FLUMAZENIL	Drug Overdose	C0016293	C0029944
DIQUAFOSOL	Dry Eye Syndromes	C1955479	C0013238
OXIGLUTATIONE	Dry Eye Syndromes		C0013238
PIRENZEPINE	Duodenal Ulcer	C0031978	C0013295
LEVOLANSOPRAZOLE	Duodenal Ulcer		C0013295
BENZILONIUM	Duodenal Ulcer	C2828307	C0013295
RABEPRAZOLE	Duodenal Ulcer	C0378482	C0013295
ROSUVASTATIN	Hyperlipoproteinemia Type III	C0965129	C0020479
VALNEMULIN	Dysentery	C0764565	C0013369
ORMELOXIFENE	Metrorrhagia	C1701687	C0025874
TIAPRIDE	Dyskinesias	C0040180	
ALBENDAZOLE	Echinococcosis	C0001911	C0013502
OXATOMIDE	Eczema	C0134337	C0013595
VANCOMYCIN	Endocarditis, Bacterial	C0042313	
NAFARELIN	Endometriosis	C0064906	C0014175
BUSERELIN	Endometriosis	C0006456	C0014175
DYDROGESTERONE	Endometriosis	C0013340	C0014175
GESTRINONE	Endometriosis	C0017507	C0014175
PRIFINIUM	Endoscopy, Gastrointestinal	C0771424	C0079278
ETHOTOIN	Epilepsy	C0015046	C0014544
METHARBITAL	Epilepsy	C0025629	C0014544
FELBAMATE	Epilepsy	C0060135	C0014544
METHSUXIMIDE	Epilepsy	C0109002	C0014544
BRIVARACETAM	Epilepsy	C1699861	C0014544
VIGABATRIN	Epilepsy	C0048044	C0014544
MIRODENAFIL	Erectile Dysfunction	C2353244	C0242350
SULFOMYXIN	Escherichia coli Infections	C0521887	C0014836
IMIPENEM	Escherichia coli Infections	C0020933	C0014836
CLOPROSTENOL	Estrous Cycle	C0009030	C0950151
SULFACETAMIDE	Eye Infections, Bacterial	C0038670	C0015404
BACITRACIN	Eye Infections, Bacterial	C0004599	C0015404
MIGALASTAT	Fabry Disease	C2698220	C0002986
TAFAMIDIS	Amyloid Neuropathies, Familial	C2745274	C0206245
COLCHICINE	Familial Mediterranean Fever	C0009262	C0031069
CAPROMORELIN	Feeding and Eating Disorders	C1259613	C4042784
CP 154526 HYDROCHLORIDE	Fever		C0015967
ACETAMINOPHEN	Fever	C0000970	C0015967
NIFURPIRINOL	Fish Diseases	C0068743	C0016154
IDEBENONE	Friedreich Ataxia	C0123163	C0016719
OXAPIUM	Gallbladder Diseases		
REVAPRAZAN	Gastritis	C2699073	C0017152
TIQUIZIUM	Gastritis		C0017152
TROXIPIDE	Gastritis	C0147037	C0017152
ROXATIDINE	Gastritis	C0378091	C0017152
REBAMIPIDE	Gastritis	C0069562	C0017152
ITOPRIDE	Gastritis	C0531483	C0017152
MEPREDNISONE	Gastrointestinal Diseases	C0065967	C0017178
FLOXURIDINE	Gastrointestinal Neoplasms	C0016343	C0017185
METOCLOPRAMIDE	Gastroparesis	C0025853	C0152020
MIGLUSTAT	Gaucher Disease	C1321596	C0017205
ELIGLUSTAT	Gaucher Disease	C3272698	C0017205
TICARCILLIN	Reproductive Tract Infections	C0040193	
ACECLIDINE	Glaucoma	C0000948	C0017601
PHYSOSTIGMINE	Glaucoma	C0031849	C0017601
RIPASUDIL	Glaucoma	C4045501	C0017601
BUPRANOLOL	Glaucoma	C0006403	C0017601
METHAZOLAMIDE	Glaucoma	C0025631	C0017601
LATANOPROST	Glaucoma, Open-Angle	C0090306	C0017612
ACETAZOLAMIDE	Glaucoma, Open-Angle	C0000981	C0017612
DIPIVEFRIN	Glaucoma, Open-Angle	C0058415	C0017612
BRIMONIDINE	Glaucoma, Open-Angle	C0525227	C0017612
DEMECARIUM	Glaucoma, Open-Angle	C0360174	C0017612
ML299	Glioblastoma	C3659321	C0017636
VELIPARIB	Glioblastoma	C1958300	C0017636
LEVOTHYROXINE	Goiter	C0040165	C0018021
CEFOTAXIME	Gonorrhea	C0007554	C0018081
ALLOPURINOL	Gout	C0002144	C0018099
KANAMYCIN	Gram-Negative Bacterial Infections	C0022487	C0085423
PROFLAVINE	Gram-Positive Bacterial Infections	C0033294	C0085426
GUSPERIMUS	Granulomatosis with Polyangiitis	C0284559	C3495801
ALCLOMETASONE	Hand Dermatoses	C0360534	C0018567
CROMOLYN	Rhinitis, Allergic, Seasonal	C0086073	
MEQUITAZINE	Rhinitis, Allergic, Seasonal	C0065972	
CHLORPHENIRAMINE	Rhinitis, Allergic, Seasonal	C0008281	
TEGAFUR	Head and Neck Neoplasms	C0016778	C0018671
ASPIRIN	Headache	C0004057	C0018681
FONAZINE	Headache Disorders, Secondary	C0118092	C1565107
DOBUTAMINE	Heart Diseases	C0012963	C0018799
TRAPIDIL	Heart Diseases	C0040779	C0018799
DERENOFYLLINE	Heart Failure	C3272639	C0018801
ENALAPRIL	Heart Failure	C0014025	C0018801
IVABRADINE	Heart Failure	C0257190	C0018801
INAMRINONE	Heart Failure	C0002697	C0018801
XAMOTEROL	Heart Failure	C0078595	C0018801
NITROGLYCERIN	Heart Failure	C0017887	C0018801
DENOPAMINE	Heart Failure	C0075749	C0018801
LOSARTAN	Heart Failure	C0126174	C0018801
PIMOBENDAN	Heart Failure	C0071071	C0018801
OLPRINONE	Heart Failure	C0637063	C0018801
CARVEDILOL	Heart Failure	C0054836	C0018801
VESNARINONE	Heart Failure	C0148345	C0018801
ENOXIMONE	Heart Failure	C0116190	C0018801
SITAXENTAN	Heart Failure, Diastolic		C1135196
HALOXON	Helminthiasis	C0062110	C0018889
THENIUM	Helminthiasis		C0018889
DICHLORVOS	Helminthiasis	C0012087	C0018889
FAMPHUR	Helminthiasis		C0018889
CYCLOBENDAZOLE	Helminthiasis	C2699486	C0018889
TICARBODINE	Helminthiasis	C0076661	C0018889
EMODEPSIDE	Helminthiasis	C1172566	C0018889
TIOXIDAZOLE	Helminthiasis	C0076713	C0018889
CAMBENDAZOLE	Helminthiasis	C0006796	C0018889
ORNIPRESSIN	Hemorrhage	C0029276	C0019080
ETHAMSYLATE	Hemorrhage	C0014968	C0019080
PAROMOMYCIN	Hepatic Encephalopathy	C0030576	C0019151
NEOMYCIN	Hepatic Encephalopathy	C0027603	C0019151
ENTECAVIR	Hepatitis B	C0971023	C0019163
ADEFOVIR	Hepatitis B	C0050175	C0019163
CLEVUDINE	Hepatitis B, Chronic	C0045212	C0524909
TELBIVUDINE	Hepatitis B, Chronic	C1453933	C0524909
VELPATASVIR	Hepatitis C	C4079582	C0019196
DASABUVIR	Hepatitis C, Chronic	C3852512	C0524910
BOCEPREVIR	Hepatitis C, Chronic	C1738934	C0524910
TELAPREVIR	Hepatitis C, Chronic	C1876229	C0524910
VX-11E	Carcinoma, Hepatocellular		
PENCICLOVIR	Herpes Labialis	C0164815	C0019345
DOCOSANOL	Herpes Labialis	C0075770	C0019345
ACYCLOVIR	Herpes Simplex	C0001367	
EFLORNITHINE	Hirsutism	C0002260	C0019572
ITRACONAZOLE	Histoplasmosis	C0064113	C0019655
COBICISTAT	HIV Infections	C3177235	C0019693
EFAVIRENZ	HIV Infections	C0674428	C0019693
LAMIVUDINE	HIV Infections	C0209738	C0019693
INDINAVIR	HIV Infections	C0376637	C0019693
RALTEGRAVIR	HIV Infections	C1871526	C0019693
TIPRANAVIR	HIV Infections	C0663733	C0019693
ETRAVIRINE	HIV Infections	C1456409	C0019693
DIDANOSINE	HIV Infections	C0012133	C0019693
LOPINAVIR	HIV Infections	C0674432	C0019693
MARAVIROC	HIV Infections	C1667052	C0019693
ZALCITABINE	HIV Infections	C0012132	C0019693
NELFINAVIR	HIV Infections	C0525005	C0019693
ABACAVIR	HIV Infections	C0663655	C0019693
STAVUDINE	HIV Infections	C0164662	C0019693
EMTRICITABINE	HIV Infections	C0909839	C0019693
ATAZANAVIR	HIV Infections	C1145759	C0019693
RITONAVIR	HIV Infections	C0292818	C0019693
AMPRENAVIR	HIV Infections	C0754188	C0019693
MECHLORETHAMINE	Hodgkin Disease	C0025033	C0019829
BAZEDOXIFENE	Hot Flashes	C2346970	
VERALIPRIDE	Hot Flashes	C0078168	
PF-2545920	Huntington Disease	C2931945	C0020179
TETRABENAZINE	Huntington Disease	C0039623	C0020179
NICLOSAMIDE	Hymenolepiasis	C0028017	C0020413
CINACALCET	Hypercalcemia	C1337242	C0020437
COLESTIPOL	Hypercholesterolemia	C0009279	C0020443
LOMITAPIDE	Hypercholesterolemia	C2827241	C0020443
PROBUCOL	Hypercholesterolemia	C0033215	C0020443
FENOFIBRATE	Hypercholesterolemia	C0033228	C0020443
IMATINIB	Hypereosinophilic Syndrome	C0935989	C1540912
BEZAFIBRATE	Hyperlipidemias	C0005330	
CIPROFIBRATE	Hyperlipidemias	C0055775	
ATORVASTATIN	Hyperlipidemias	C0286651	
SIMFIBRATE	Hyperlipidemias	C0074551	
LOVASTATIN	Hyperlipidemias	C0024027	
GEMFIBROZIL	Hyperlipidemias	C0017245	
PARICALCITOL	Hyperparathyroidism, Secondary	C0249582	C0020503
DOXERCALCIFEROL	Hyperparathyroidism, Secondary	C0043668	C0020503
METHDILAZINE	Hypersensitivity	C0066101	C0020517
IRBESARTAN	Hypertension	C0288171	
BETAXOLOL	Hypertension	C0005320	
TOCOPHEROL	Hypertension	C3255108	
PENTOLINIUM	Hypertension	C0030885	
PRAZOSIN	Hypertension	C0032912	
FIMASARTAN	Hypertension	C2825622	
SPIRONOLACTONE	Hypertension	C0037982	
CELIPROLOL	Hypertension	C0055021	
MERSALYL	Hypertension	C0025446	
DILEVALOL	Hypertension	C0012368	
TELMISARTAN	Hypertension	C0248719	
MEFRUSIDE	Hypertension	C0025156	
MOEXIPRIL	Hypertension	C0066685	
TRICHLORMETHIAZIDE	Hypertension	C0040899	
NADOLOL	Hypertension	C0027302	
AMOSULALOL	Hypertension	C0103116	
LABETALOL	Hypertension	C0022860	
INDORAMIN	Hypertension	C0021252	
PINDOLOL	Hypertension	C0031937	
GUANETHIDINE	Hypertension	C0018318	
FUROSEMIDE	Hypertension	C0016860	
HYDROFLUMETHIAZIDE	Hypertension	C0020273	
AMILORIDE	Hypertension	C0002502	
RESCINNAMINE	Hypertension	C0035167	
BOPINDOLOL	Hypertension	C0053941	
CLEVIDIPINE	Hypertension	C0766108	
LISINOPRIL	Hypertension	C0065374	
DESERPIDINE	Hypertension	C0175158	
CILNIDIPINE	Hypertension	C0378675	
SPIRAPRIL	Hypertension	C0075007	
GALLOPAMIL	Hypertension	C0016986	
FELODIPINE	Hypertension	C0015772	
TALINOLOL	Hypertension	C0075783	
VALSARTAN	Hypertension	C0216784	
BUDRALAZINE	Hypertension	C0054203	
GUANABENZ	Hypertension	C0018312	
QUINETHAZONE	Hypertension	C0164608	
GUANADREL	Hypertension	C0061938	
PARGYLINE	Hypertension	C0030557	
EPLERENONE	Hypertension	C0961485	
EPROSARTAN	Hypertension	C0287041	
BUNAZOSIN	Hypertension	C0054222	
CAPOZIDE	Hypertension	C0054611	
INDAPAMIDE	Hypertension	C0021186	
FENOLDOPAM	Hypertension	C0060180	
CANRENONE	Hypertension	C0006882	
GUANFACINE	Hypertension	C0079466	
LERCANIDIPINE	Hypertension	C0526399	
TREPROSTINIL	Hypertension, Pulmonary	C1145760	
SELEXIPAG	Hypertension, Pulmonary	C2000145	
AMBRISENTAN	Hypertension, Pulmonary	C1176329	
SILDENAFIL	Hypertension, Pulmonary	C0529793	
MACITENTAN	Hypertension, Pulmonary	C2606556	
DIPYRONE	Fever	C0012586	C0015967
LIOTHYRONINE	Hyperthyroidism	C0041014	C0020550
ETOFIBRATE	Hypertriglyceridemia	C0059869	C0020557
ICOSAPENT	Hypertriglyceridemia	C3715178	C0020557
AMINOPENTAMIDE	Gastritis, Hypertrophic	C0051654	C0017155
TALBUTAL	Hypnotics and Sedatives	C0301407	C0020592
CALCITRIOL	Hypocalcemia	C0006674	C0020598
CONIVAPTAN	Hyponatremia	C0966107	C0020625
TOLVAPTAN	Hyponatremia	C1176308	C0020625
EPHEDRINE	Hypotension	C0014479	C0020649
AMEZINIUM	Hypotension	C0051570	C0020649
NORFENEFRINE	Hypotension	C0068986	C0020649
MIDODRINE	Hypotension, Orthostatic	C0026078	C0020651
RASAGILINE	Parkinson Disease	C0525678	C0030567
NINTEDANIB	Idiopathic Pulmonary Fibrosis	C2930789	C1800706
DEFLAZACORT	Immune System Diseases	C0057258	C0021053
CLOMIPHENE	Infertility, Female	C0009008	
MESTEROLONE	Infertility, Male	C0025503	
TINORIDINE	Inflammation	C0076703	C0021368
BROMFENAC	Inflammation	C0054094	C0021368
LANINAMIVIR	Influenza, Human	C2931958	
